hour,beta_OD,se,lo95,hi95,p,q,sig
0,-0.2127272018486617,0.16443741068295623,-0.5490394684529926,0.12358506475566919,0.20598993456194292,0.2471879214743315,False
1,0.13302469619845478,0.16855311191112315,-0.21170512455588505,0.4777545169527946,0.43639143760741494,0.4553649783729547,False
2,0.1627796368520522,0.150122315390428,-0.1442549725300456,0.46981424623415,0.2871584899901378,0.3198101838509274,False
3,0.09236147617972892,0.15157420098983634,-0.21764257266726447,0.4023655250267223,0.5470383312160003,0.5470383312160003,False
4,-0.21497038660487489,0.20078589888018739,-0.6256236587168936,0.19568288550714386,0.29315933519668347,0.3198101838509274,False
5,-0.7016740302699424,0.2852150463609112,-1.285004297469531,-0.11834376307035366,0.02008568183405046,0.02678090911206728,True
6,-1.3996371373424448,0.3529291121231587,-2.1214582190283053,-0.6778160556565843,0.00043899413641734775,0.0006726135376859954,True
7,-1.8181429985354383,0.315209027534076,-2.462817845115954,-1.1734681519549226,3.015033781084142e-06,1.934648538970407e-05,True
8,-1.8254470704934667,0.3178161688287171,-2.4754541197310105,-1.1754400212559228,3.224414231617345e-06,1.934648538970407e-05,True
9,-1.6232776916992522,0.337522684586434,-2.3135890911076338,-0.9329662922908707,4.3079843209170576e-05,8.615968641834115e-05,True
10,-1.869839968063544,0.3598416713726888,-2.605798820829542,-1.1338811152975459,1.4699579052424028e-05,5.03985567511681e-05,True
11,-1.6543950834019698,0.32185405607096684,-2.3126605393189523,-0.9961296274849875,1.7178996208677688e-05,5.1536988626033065e-05,True
12,-1.6191017544288164,0.3206148463926114,-2.2748327419788086,-0.9633707668788243,2.207528545761228e-05,5.8867427886966084e-05,True
13,-1.28188511775893,0.323876444327561,-1.9442868220862,-0.6194834134316601,0.00044840902512399694,0.0006726135376859954,True
14,-1.7608232566669697,0.35154874942716074,-2.479821179650081,-1.0418253336838585,2.475610039454068e-05,5.941464094689763e-05,True
15,-1.780515640689661,0.32928877948384494,-2.4539868133117198,-1.1070444680676021,8.184539676214797e-06,3.273815870485919e-05,True
16,-1.8211150296545504,0.30638214955557275,-2.447736883745943,-1.194493175563158,1.8578450178274863e-06,1.934648538970407e-05,True
17,-2.2764066948994146,0.3603260564526566,-3.0133562263891696,-1.5394571634096597,6.689163540851695e-07,1.6053992498044067e-05,True
18,-2.2839938878165644,0.4038740585274817,-3.110009084005408,-1.4579786916277206,4.117349535537329e-06,1.976327777057918e-05,True
19,-1.9880378470701177,0.4132884931484411,-2.833307724009668,-1.1427679701305673,4.29720274583989e-05,8.615968641834115e-05,True
20,-1.62412129194241,0.36671952190850615,-2.37414692849842,-0.8740956553864,0.00012359927634419954,0.00022818327940467607,True
21,-1.2835388440517095,0.3164817154325951,-1.93081662964746,-0.636261058455959,0.00034388521378847514,0.0005895175093516716,True
22,-0.8840036570769835,0.3112885972631513,-1.5206603234574896,-0.24734699069647748,0.008166881645071511,0.011529715263630369,True
23,-0.5221288041818127,0.221179023438758,-0.9744906991367245,-0.06976690922690099,0.025179803774465714,0.031806067925640905,True
