outcome,subtype,beta,lo,hi,p,d,n,q
mims_mean_per_day,food_deficit,-0.15486789403704773,-0.56916863711351,0.25943284903941444,0.4507351151984511,-0.04505728820711028,2055,0.6761026727976767
mims_mean_per_day,warning_deficit,-0.1452321082915169,-0.5877962195751896,0.2973320029921558,0.5074273059639451,-0.04225385126404391,2055,0.6919463263144706
mims_mean_per_day,household_deficit,-0.38716386258375535,-0.7400056928097869,-0.0343220323577238,0.032621300006183684,-0.11264151196917027,2055,0.2245066157067166
mvpa_min_day_karas,food_deficit,-0.9516223733138078,-6.585260371886196,4.682015625258581,0.7322301369393598,-0.026690878807092706,2055,0.7845322895778855
mvpa_min_day_karas,warning_deficit,0.39143038203692265,-3.714267527434588,4.497128291508433,0.8467614099278831,0.010978746592495555,2055,0.8467614099278831
mvpa_min_day_karas,household_deficit,-1.3514034050774106,-4.553261689350931,1.8504548791961102,0.3950959923726951,-0.03790384244414886,2055,0.662384032480174
IS,food_deficit,-0.0124859462772452,-0.03306724951590784,0.00809535696141744,0.22463564565862026,-0.08986316858771146,2055,0.4813620978399006
IS,warning_deficit,-0.0210731991297958,-0.04163383518267527,-0.0005125630769163246,0.04490132314134332,-0.15166687442299856,2055,0.2245066157067166
IS,household_deficit,-0.015186653938866318,-0.03820789454157467,0.00783458666384204,0.1877141748423381,-0.10930055382976366,2055,0.46928543710584525
IV,food_deficit,0.011845985774542241,-0.032635629078582,0.05632760062766648,0.5901453747921703,0.05198022423825989,2055,0.7022938568777696
IV,warning_deficit,0.050951691383546896,0.0073174592782535575,0.09458592348884023,0.02366239219655708,0.22357618807268287,2055,0.2245066157067166
IV,household_deficit,0.023745566580831046,-0.005131236585390914,0.052622369747053005,0.10334639620703756,0.10419562365073197,2055,0.3100391886211127
astp,food_deficit,0.0020443069388484964,-0.006033308298474326,0.010121922176171319,0.6086546759607336,0.029236229865715956,2055,0.7022938568777696
astp,warning_deficit,0.003992506626360274,-0.005514337993355297,0.013499351246075845,0.3974304194881044,0.05709800189516143,2055,0.662384032480174
astp,household_deficit,0.006788476797360731,-0.0008942948351320593,0.014471248429853522,0.08112306266202163,0.09708398690732331,2055,0.3042114849825811
