metric,label,n,beta,se,lo,hi,p,d,q
ASTP_minute,ASTP (active→sedentary),2055,0.011809511582001664,0.003656524751653326,0.004331078772728362,0.019287944391274965,0.0030755508640336604,0.17405460019384622,0.004802570647539639
SATP_minute,SATP (sedentary→active),2055,-0.011138173395769493,0.0034655090896725305,-0.01822593531104807,-0.004050411480490914,0.003201713765026426,-0.20389695933572435,0.004802570647539639
transitions_per_wake_hour,Transitions per wake hour,2055,-0.17270570846352334,0.16231206208201202,-0.5046711491093379,0.15925973218229117,0.296092805371756,-0.09114781412563162,0.296092805371756
act_bout_mean,Active bout mean (min),2055,-0.15846591843185404,0.11701990682865755,-0.3977985005974316,0.0808666637337235,0.18613808967824919,-0.09036187980292146,0.24818411957099892
act_bout_median,Active bout median,2055,-0.0438476417192222,0.03900638250381429,-0.12362465144838962,0.035929368009945215,0.27018358992047387,-0.09257249517080227,0.3087812456233987
act_bout_p90,Active bout p90,2055,-0.44616278290842804,0.2995614008713222,-1.0588346396092536,0.16650907379239743,0.1471816110010904,-0.09891669621785813,0.23549057760174463
act_bout_max,Active bout max,2055,-10.099560784114166,3.0566820976949844,-16.35117761689632,-3.847943951332013,0.002539936561968714,-0.1871510251708206,0.006773164165249905
sed_bout_mean,Sedentary bout mean (min),2055,0.29519692821409477,0.07175603976612566,0.14843934868236158,0.44195450774582795,0.00029339394237859473,0.2587897059269548,0.002347151539028758
sed_bout_median,Sedentary bout median,2055,0.0983337313084734,0.052959635666933284,-0.009980885394086897,0.20664834801103368,0.07352900969676002,0.18969734195357313,0.14705801939352003
sed_bout_p90,Sedentary bout p90,2055,0.8409673161513896,0.2228614962096162,0.38516437801343756,1.2967702542893418,0.0007372895005708369,0.2630718626019143,0.0029491580022833475
sed_bout_max,Sedentary bout max,2055,1.1657954333955927,1.7518705568274562,-2.417182158607445,4.74877302539863,0.5110163939390819,0.05246237418474549,0.5110163939390819
frac_sed_in_long_bouts,Frac sed minutes in bouts ≥30 min,2055,0.013254296307900242,0.005315818882825315,0.0023822259565371567,0.024126366659263328,0.01860812237542242,0.1804516452004346,0.03721624475084484
frac_sed_in_very_long_bouts,Frac sed minutes in bouts ≥60 min,2055,0.005341824371548727,0.00271018862116754,-0.00020113373223388468,0.01088478247533134,0.05833263566357538,0.19194604653566147,0.05833263566357538
sed_hazard_at_1min,sed hazard at 1min,2055,-0.012037338839661814,0.0058658524974696535,-0.024034354243864894,-4.032343545873167e-05,0.04928401151136952,-0.20306987488516212,0.18923402335127792
act_hazard_at_1min,act hazard at 1min,2055,0.0030432820981059466,0.004701871612689177,-0.0065731250976682545,0.012659689293880148,0.522561694800419,0.05584496620506356,0.5806241053337989
sed_hazard_at_5min,sed hazard at 5min,2055,-0.006086919033522381,0.0036058367002307743,-0.013461683137524334,0.001287845070479572,0.10212458295734361,-0.13687651724720654,0.20424916591468723
act_hazard_at_5min,act hazard at 5min,2055,0.010377967254645903,0.0042339721608304105,0.0017185218873508965,0.019037412621940912,0.020506098624661906,0.19648080707761734,0.18923402335127792
sed_hazard_at_15min,sed hazard at 15min,2055,-0.00675864237501348,0.0053189520799704565,-0.01763712083405245,0.004119836084025492,0.21394478997805155,-0.09688337709930592,0.30563541425435936
act_hazard_at_15min,act hazard at 15min,2051,0.02599793809550742,0.013683829973498008,-0.0019886365841946634,0.053984512775209506,0.0674311008678583,0.3388853862784382,0.18923402335127792
sed_hazard_at_30min,sed hazard at 30min,1948,0.01139477552398015,0.015702905706527673,-0.02072127269462502,0.04351082374258532,0.47387060554126426,0.06955739286868963,0.5806241053337989
act_hazard_at_30min,act hazard at 30min,1952,-0.015614004682031002,0.010217762361396269,-0.03651167513982649,0.005283665775764491,0.1373168333498347,-0.12880632513852477,0.22886138891639116
sed_hazard_at_60min,sed hazard at 60min,684,0.08444436526477256,0.045838976978378236,-0.009306869216445177,0.1781955997459903,0.07569360934051117,0.37234085158707697,0.18923402335127792
act_hazard_at_60min,act hazard at 60min,1295,-0.0070431126584568305,0.013458425000022381,-0.034568682404922425,0.020482457088008766,0.6047252324135257,-0.04360376060116842,0.6047252324135257
astp_morn,ASTP morning (06-12),2055,0.015260823603334703,0.00447420449894421,0.006110047937130507,0.024411599269538897,0.001925289762022997,0.19002600010198792,0.004883699321091672
astp_aft,ASTP afternoon (12-18),2055,0.014499131893193453,0.00436808505746154,0.005565394854316182,0.023432868932070725,0.002441849660545836,0.18515123312921566,0.004883699321091672
astp_eve,ASTP evening (18-24),2055,0.01543021115589189,0.004380598291615595,0.006470881679603798,0.024389540632179983,0.0014372120741950045,0.19249324879743682,0.004883699321091672
satp_morn,SATP morning (06-12),2055,-0.011624001750536378,0.004138146484172917,-0.020087461603454055,-0.003160541897618701,0.008804030418569031,-0.18102558401474791,0.008804030418569031
satp_aft,SATP afternoon (12-18),2055,-0.013292638924684411,0.004322218601304626,-0.022132568527849984,-0.0044527093215188385,0.004551802652781101,-0.21433505459510274,0.006101791730386186
satp_eve,SATP evening (18-24),2055,-0.01133391962539996,0.003738921495545733,-0.01898087269769723,-0.0036869665531026902,0.005084826441988488,-0.17697077067319977,0.006101791730386186
