race,outcome,n,n_OD,beta,lo,hi,p
NHWhite,mims_mean_per_day,1010,127,-0.808566291285141,-1.225606202915876,-0.391526379654406,0.0004395147602680449
NHWhite,mvpa_min_day_karas,1010,127,-3.76048236511323,-7.167587839571972,-0.3533768906544874,0.03168954707751204
NHWhite,IS,1010,127,-0.03195016937978015,-0.06432237034643956,0.00042203158687926373,0.052864629000666685
NHWhite,IV,1010,127,0.04502470916529967,-0.001713023188112589,0.09176244151871193,0.05842240064050985
NHWhite,astp,1010,127,0.015578566092753848,0.0035402854951566594,0.027616846690351037,0.01299905083949593
NHBlack,mims_mean_per_day,438,81,-0.23216728732202474,-1.1857971548539354,0.7214625802098861,0.6218875792542189
NHBlack,mvpa_min_day_karas,438,81,-0.3945048151875676,-7.925981433575355,7.13697180320022,0.9153183274717138
NHBlack,IS,438,81,-0.006834657695425417,-0.04709950137907642,0.03343018598822558,0.7306643969913691
NHBlack,IV,438,81,0.0820947285433166,0.008468010883133217,0.15572144620349998,0.030157677451818188
NHBlack,astp,438,81,0.0028545735016146036,-0.01641067419679391,0.022119821200023117,0.7637398622912381
MexAm,mims_mean_per_day,240,35,0.5147499661813657,-1.2438221601623967,2.2733220925251283,0.5483539248752143
MexAm,mvpa_min_day_karas,240,35,7.76565741504705,-21.24039807834309,36.77171290843719,0.5827256632830113
MexAm,IS,240,35,-0.021097537213355423,-0.08431532470082914,0.0421202502741183,0.49434993821691053
MexAm,IV,240,35,0.005303454617257432,-0.12119910989443677,0.13180601912895162,0.9311824835669276
MexAm,astp,240,35,-0.0009413097024510951,-0.022504793380635234,0.020622173975733044,0.9283519777722775
OtherHisp,mims_mean_per_day,162,28,-2.6204506109223704,-4.502268604680305,-0.7386326171644357,0.008198692161219379
OtherHisp,mvpa_min_day_karas,162,28,-26.62733355554638,-44.149324572362374,-9.105342538730387,0.004349894701711987
OtherHisp,IS,162,28,-0.07368760878305548,-0.13150619370099084,-0.015869023865120124,0.014496326913429058
OtherHisp,IV,162,28,0.14400227210265099,0.0048089693453119975,0.28319557485999,0.04311276495528604
OtherHisp,astp,162,28,0.050160597124953174,0.011034697004154555,0.0892864972457518,0.013984587538111493
NHAsian,mims_mean_per_day,170,35,0.13437994995510988,-0.7368122688021026,1.0055721687123222,0.753728580695908
NHAsian,mvpa_min_day_karas,170,35,-5.308435742588647,-13.572591622881951,2.9557201377046587,0.19822149061775995
NHAsian,IS,170,35,-0.02367502246984159,-0.07523067538277828,0.027880630443095102,0.35389718533002035
NHAsian,IV,170,35,-0.040587381168185416,-0.13329753117893653,0.0521227688425657,0.37644058771789357
NHAsian,astp,170,35,-0.012539024256705913,-0.032432792596850876,0.007354744083439047,0.20649896638254783
