term,beta,se,t,p,lo95,hi95,outcome
(Intercept),21.02642436243609,0.7178491663490785,29.290866867443402,0.02172597376658225,11.905285885112372,30.147562839759807,mims_mean_per_day
od_binary,-0.612033259440075,0.015958727717080016,-38.35100581264002,0.016596058903018518,-0.8148081211421595,-0.40925839773799055,mims_mean_per_day
age,-0.08398641581023214,0.003621759282321145,-23.18939754505335,0.027436055209457466,-0.13000523075654574,-0.037967600863918545,mims_mean_per_day
female,1.1526335272574322,0.29474697464388966,3.9105864569094644,0.15937856474023038,-2.592481877935921,4.897748932450785,mims_mean_per_day
race_MexAm,1.2205436432518821,0.5334975961681069,2.287814700606982,0.2623339836913181,-5.558186039917132,7.999273326420896,mims_mean_per_day
race_NHAsian,-0.2618149253626969,0.019983950501166935,-13.101259700748788,0.04849821814149924,-0.5157350918681048,-0.007894758857288964,mims_mean_per_day
race_NHBlack,-0.5569394173574116,0.32796875939244097,-1.6981477698947198,0.3388094277910958,-4.724177621266984,3.6102987865521605,mims_mean_per_day
race_OtherHisp,1.3797964195077137,0.04306526807485893,32.039657041243984,0.01986329541475018,0.8326003063303083,1.926992532685119,mims_mean_per_day
race_OtherMulti,-0.8555433717464012,0.2767258458254843,-3.0916641313148068,0.1991535731079448,-4.371678624596118,2.660591881103316,mims_mean_per_day
edu_HS,1.0861410289880504,0.25837923751055736,4.203669921209016,0.14868029379380587,-2.1968784623978,4.3691605203739,mims_mean_per_day
edu_SomeColl,0.6164481430748807,0.15980661723622613,3.8574631872949734,0.16148110251236725,-1.4140874537241122,2.646983739873874,mims_mean_per_day
edu_lt_HS,1.1768485179489647,0.37734226911191526,3.1187826392169318,0.1975313432251864,-3.617739608999759,5.971436644897688,mims_mean_per_day
pir,-0.009053115131264299,0.12059818729138772,-0.07506841798036552,0.9522994284062947,-1.5413983736671777,1.5232921434046491,mims_mean_per_day
bmi,-0.09600516996600156,0.001465825951597876,-65.49561348763658,0.009719281586039186,-0.11463025461460227,-0.07738008531740084,mims_mean_per_day
smk_current,-0.8784780731066144,0.04058181833702322,-21.647085052006396,0.02938813673582019,-1.39411896546308,-0.3628371807501489,mims_mean_per_day
smk_former,0.006617699602662619,0.16037869477752756,0.041262959595989294,0.9737460775502922,-2.0311868315610737,2.0444222307663993,mims_mean_per_day
dm_self,-0.8326129397031607,0.4772602669014059,-1.744567896064067,0.33135192262047286,-6.896779603393803,5.231553723987481,mims_mean_per_day
comorb_count,-0.1140266038919906,0.020894727352446494,-5.457195108058666,0.11537692696391155,-0.37951928753872516,0.15146607975474397,mims_mean_per_day
phq9_score,-0.0080332471594593,0.024230566005024313,-0.3315336157559659,0.7961989536535987,-0.31591177969269274,0.29984528537377414,mims_mean_per_day
sinus_ever,0.20787076660540216,0.5776592157160002,0.3598501693559054,0.7800969305100005,-7.131985496020199,7.5477270292310035,mims_mean_per_day
head_injury,-0.2586006738914546,0.22151489296004478,-1.1674189055004038,0.4509227473742805,-3.073214255953606,2.556012908170697,mims_mean_per_day
n_meds,-0.0687627873682537,0.07272851374853218,-0.9454721927359816,0.5178385456652053,-0.9928661732147995,0.8553405984782921,mims_mean_per_day
(Intercept),310.95575047046043,9.708271827195322,32.02997979510574,0.01986929283385419,187.60046099967988,434.311039941241,sedentary_min_day_karas
od_binary,-2.9337701759239536,12.092608310273512,-0.24260855066574114,0.8484781293251378,-156.5849271606267,150.71738680877883,sedentary_min_day_karas
age,1.141827658929925,0.14151280941382352,8.068722991647332,0.0784994105868746,-0.6562630702733863,2.9399183881332362,sedentary_min_day_karas
female,-33.10895765467994,6.362896952208543,-5.2034408074435206,0.12087223037934347,-113.95722904462366,47.73931373526378,sedentary_min_day_karas
race_MexAm,-17.916926143146085,9.919788102242817,-1.8061803295067516,0.3219034105861789,-143.95978470971315,108.12593242342098,sedentary_min_day_karas
race_NHAsian,17.053977868661747,6.698567608906419,2.5459141213991434,0.2382690697494696,-68.0593936092114,102.16734934653489,sedentary_min_day_karas
race_NHBlack,22.57158307154949,5.772201526943215,3.9103941479158166,0.15938607936094873,-50.7711913082512,95.91435745135018,sedentary_min_day_karas
race_OtherHisp,-19.036646196577436,6.612287956089294,-2.8789802142610075,0.21282695515211691,-103.05373074119011,64.98043834803524,sedentary_min_day_karas
race_OtherMulti,29.901664594941394,13.44112480927312,2.2246400520224348,0.2689381980896046,-140.8840191161599,200.68734830604268,sedentary_min_day_karas
edu_HS,-40.72228483676992,6.22278621947622,-6.544059750810076,0.09653530816812284,-119.7902805708813,38.34571089734144,sedentary_min_day_karas
edu_SomeColl,-25.327873849832173,3.5957527319564355,-7.043830802028307,0.08977980325082546,-71.01624424273012,20.360496543065786,sedentary_min_day_karas
edu_lt_HS,-37.052444617718436,5.0706946791439815,-7.307173269594988,0.0865847195521019,-101.48172936555352,27.376840130116648,sedentary_min_day_karas
pir,3.2445964350930288,1.9621301376305393,1.6536091938382795,0.3462548856724055,-21.686630812659235,28.175823682845294,sedentary_min_day_karas
bmi,1.9375329570498678,0.052919267150784065,36.61299676598339,0.017383486649719337,1.2651299141436816,2.609935999956054,sedentary_min_day_karas
smk_current,16.32079066015396,2.386947559287536,6.837515385141282,0.09245143779047171,-14.008253722665955,46.649835042973876,sedentary_min_day_karas
smk_former,-8.168877622551843,3.5984816304490987,-2.2700901272997047,0.26415584532162373,-53.891921958401824,37.55416671329813,sedentary_min_day_karas
dm_self,20.459776263778963,7.464846201450941,2.7408168516321476,0.22271930112901206,-74.39008789591266,115.30964042347058,sedentary_min_day_karas
comorb_count,4.005839465726268,1.2429912603475877,3.2227414572537567,0.19154273526058185,-11.787861973526002,19.79954090497854,sedentary_min_day_karas
phq9_score,-0.053595218162719505,1.0102291265440768,-0.053052537047773504,0.966257339261672,-12.889773330478693,12.782582894153254,sedentary_min_day_karas
sinus_ever,-4.3652196015229965,17.611426879249723,-0.24786291488205425,0.8453228623248243,-228.13961522544014,219.40917602239415,sedentary_min_day_karas
head_injury,6.766637424131616,2.631845510502579,2.571061788060445,0.23614740612365814,-26.67413046629636,40.207405314559594,sedentary_min_day_karas
n_meds,-1.0456004402775534,2.98989611561793,-0.3497112942539331,0.7858299057517533,-39.035832625212414,36.94463174465731,sedentary_min_day_karas
(Intercept),109.72728129539108,4.849420243444781,22.626886470339475,0.028117247719394944,48.10955483043156,171.3450077603506,mvpa_min_day_karas
od_binary,-3.4398673753031916,2.660118164382232,-1.2931257796595075,0.4190610835453603,-37.23987339436105,30.360138643754663,mvpa_min_day_karas
age,-0.9963553443411183,0.03430248449188602,-29.046156833823456,0.02190886834113792,-1.4322097352544794,-0.5605009534277572,mvpa_min_day_karas
female,7.695883931376376,1.4888802466209594,5.1689072703075505,0.12166032330057464,-11.222133309835804,26.613901172588555,mvpa_min_day_karas
race_MexAm,15.322108933673356,6.8068190548643015,2.2509940120596923,0.26614553533260343,-71.16672757952759,101.81094544687429,mvpa_min_day_karas
race_NHAsian,0.3603881884247424,2.501643830430783,0.14406055092290398,0.908914865114478,-31.426010498017074,32.14678687486656,mvpa_min_day_karas
race_NHBlack,-6.046797709198145,0.6345903009258677,-9.528663927538545,0.06656734953075483,-14.11003199635293,2.0164365779566396,mvpa_min_day_karas
race_OtherHisp,17.79250938645303,2.377806821507157,7.482739651312534,0.08457729630398414,-12.420390910689704,48.005409683595765,mvpa_min_day_karas
race_OtherMulti,-6.23283700844896,3.2697205909346434,-1.9062292434801944,0.30757020244961275,-47.778576266950644,35.31290225005272,mvpa_min_day_karas
edu_HS,5.645847618650798,2.1264234712943657,2.6550909049240974,0.22931252381086797,-21.372924363422705,32.6646196007243,mvpa_min_day_karas
edu_SomeColl,1.4525809554738762,2.2285032033963414,0.6518191013861124,0.6322547017418114,-26.863237002101194,29.768398913048948,mvpa_min_day_karas
edu_lt_HS,6.097340739776089,2.9027813607986084,2.100516705157084,0.28286526534552303,-30.78599353488281,42.980675014434986,mvpa_min_day_karas
pir,-0.9668395483386705,1.0094014725033573,-0.9578344936835375,0.5137086387945771,-13.79250131896254,11.858822222285198,mvpa_min_day_karas
bmi,-0.7836522613980924,0.04224163367810744,-18.551656107094068,0.03428288318992534,-1.3203831073026175,-0.24692141549356716,mvpa_min_day_karas
