aim,outcome,model,desc,n,G_clusters,beta,se,lo95,hi95,p,aim_family,q_BHFDR
Aim 1 — Mean daily MIMS (PRIMARY),mims_mean_per_day,M4,"+ PHQ-9, sinonasal, n_meds",2055,30,-0.6120332594400765,0.1555418557998359,-0.9301520735142316,-0.2939144453659215,0.0004773553404855,Aim1,0.0014320660214564998
Aim 1 — Sedentary min/day,sedentary_min_day_karas,M4,"+ PHQ-9, sinonasal, n_meds",2055,30,-2.933770175923734,6.660675930750484,-16.556382026134454,10.688841674286987,0.6628688446699038,Aim1,0.6628688446699038
Aim 1 — MVPA min/day,mvpa_min_day_karas,M4,"+ PHQ-9, sinonasal, n_meds",2055,30,-3.439867375303184,1.4711773519169984,-6.448762904278125,-0.4309718463282439,0.0264833917721583,Aim1,0.03972508765823745
Aim 2 — Interdaily stability,IS,M4,"+ PHQ-9, sinonasal, n_meds",2055,30,-0.0282828068657937,0.0118571933035322,-0.0525334900826753,-0.0040321236489121,0.0238195747724772,Aim2,0.0357293621587158
Aim 2 — Intradaily variability,IV,M4,"+ PHQ-9, sinonasal, n_meds",2055,30,0.0475441034511895,0.0178167084382083,0.0111048432281299,0.083983363674249,0.0123429780279227,Aim2,0.0357293621587158
Aim 2 — Relative amplitude,RA,M4,"+ PHQ-9, sinonasal, n_meds",2055,30,-0.0067009869356024,0.0041486056225154,-0.0151858381282895,0.0017838642570846,0.1170881649742836,Aim2,0.1170881649742836
Aim 3 — Total sleep time (min),total_sleep_time_min,M4,"+ PHQ-9, sinonasal, n_meds",1683,30,-2.753200168757507,4.883685618559615,-12.741458758692817,7.235058421177802,0.5772551178062435,Aim3,0.5772551178062435
Aim 3 — Sleep efficiency,sleep_efficiency,M4,"+ PHQ-9, sinonasal, n_meds",1683,30,-0.0059073350401962,0.0046626133357057,-0.0154434500441848,0.0036287799637923,0.2152511520929807,Aim3,0.2870015361239743
Aim 3 — WASO (min),waso_min,M4,"+ PHQ-9, sinonasal, n_meds",1683,30,2.218881165210462,1.677117749466973,-1.2112097693462789,5.648972099767203,0.1961623887788248,Aim3,0.2870015361239743
Aim 3 — ASTP,astp,M4,"+ PHQ-9, sinonasal, n_meds",2055,30,0.0113398591874312,0.0040550709245381,0.0030463079316152,0.0196334104432471,0.0090759356836127,Aim3,0.0363037427344508
