Outcome,β (95% CI),p,Cohen's d,E-value (point),E-value (CI)
mims_mean_per_day,"-0.612 (-0.930, -0.294)",0.000,-0.177,1.63,1.38
sedentary_min_day_karas,"-2.934 (-16.556, +10.689)",0.663,-0.031,1.20,1.00
mvpa_min_day_karas,"-3.440 (-6.449, -0.431)",0.026,-0.096,1.41,1.12
IS,"-0.028 (-0.053, -0.004)",0.024,-0.203,1.70,1.19
IV,"+0.048 (+0.011, +0.084)",0.012,+0.208,1.71,1.26
RA,"-0.007 (-0.015, +0.002)",0.117,-0.153,1.56,1.00
total_sleep_time_min,"-2.753 (-12.741, +7.235)",0.577,-0.038,1.22,1.00
sleep_efficiency,"-0.006 (-0.015, +0.004)",0.215,-0.119,1.47,1.00
waso_min,"+2.219 (-1.211, +5.649)",0.196,+0.114,1.46,1.00
astp,"+0.011 (+0.003, +0.020)",0.009,+0.157,1.57,1.24
