outcome,hyp_beta,hyp_lo,hyp_hi,hyp_p,ano_beta,ano_lo,ano_hi,ano_p,hyp_q,ano_q
mims_mean_per_day,-0.50083313882168,-0.8268722917258451,-0.174793985917515,0.0038494583999337806,-1.4220275229408177,-2.6940675473677156,-0.1499874985139198,0.029721607808095962,0.07698916799867561,0.18724735464902142
sedentary_min_day_karas,-4.144177882187233,-19.228307932835925,10.939952168461462,0.5785005421638059,5.8829765426837755,-17.746947062641063,29.51290014800861,0.6144742616355918,0.7229108960418728,0.7229108960418728
mvpa_min_day_karas,-2.896950900157632,-6.136047909058362,0.34214610874309903,0.07767126247006795,-7.3945324240293,-13.828713072937457,-0.9603517751211426,0.025761652279212344,0.22191789277162272,0.18724735464902142
IS,-0.025454550331813267,-0.050525319256062975,-0.0003837814075635555,0.046811838662255356,-0.04888414754341831,-0.12344042600450601,0.025672130917669386,0.19033286364465285,0.18724735464902142,0.29281979022254284
IV,0.038463787489036075,-0.0045355479363956425,0.08146312291446779,0.07762391184785367,0.11368615257189661,-0.038363657695471745,0.265735962839265,0.1370510426872935,0.22191789277162272,0.22841840447882253
RA,-0.004635714924245763,-0.01449607940834359,0.0052246495598520645,0.3442317513477877,-0.021744662000592295,-0.047565356027056256,0.004076032025871666,0.09565288387838655,0.4917596447825539,0.22841840447882253
total_sleep_time_min,-1.8181121052420814,-13.153810048981335,9.517585838497173,0.7452451384938519,-9.074509120055476,-29.945002956075577,11.795984715964627,0.38117678348600936,0.7452451384938519,0.5082357113146792
sleep_efficiency,-0.007252059330618054,-0.016897211423000623,0.0023930927617645138,0.13494299371354934,0.0031831645871935876,-0.011894828326317127,0.018261157500704304,0.6690981404707825,0.22841840447882253,0.7434423783008695
waso_min,2.7343894545092216,-0.7529116860007803,6.221690595019224,0.11962567613019992,-1.2660175204053656,-8.308033380214695,5.775998339403963,0.7157725526791574,0.22841840447882253,0.7452451384938519
astp,0.0078013036930686735,-0.0017408596796002077,0.017343467065737556,0.10526159211056552,0.037115097879550446,0.0008947612452319467,0.07333543451386895,0.04494540539475178,0.22841840447882253,0.18724735464902142
