outcome,n_pooled,beta_pooled,se_pooled,lo95,hi95,df_rubin,p_pooled,cc_beta,cc_se,cc_lo,cc_hi,cc_p
mims_mean_per_day,2327,-0.5696077336517792,0.16870582476854135,-0.9002650768903337,-0.23895039041322463,147676371.1170628,0.0007345787825963068,-0.6120332594400765,0.1555418557998359,-0.9301520735142316,-0.2939144453659215,0.0004773553404855
sedentary_min_day_karas,2327,-2.3886950611440385,6.460006247932472,-15.050075164276741,10.272685041988662,29625827.66175037,0.7115563467152419,-2.933770175923734,6.660675930750484,-16.556382026134454,10.688841674286987,0.6628688446699038
mvpa_min_day_karas,2327,-2.6867679983228907,1.4487045593769272,-5.526176950522674,0.15264095387689292,17938635.617112756,0.06365333299281906,-3.439867375303184,1.4711773519169984,-6.448762904278125,-0.4309718463282439,0.0264833917721583
IS,2327,-0.027909368875086847,0.010294742344893184,-0.04808669327913132,-0.007732044471042372,137252377.12630665,0.006707429963867417,-0.0282828068657937,0.0118571933035322,-0.0525334900826753,-0.0040321236489121,0.0238195747724772
IV,2327,0.049963146056489174,0.0165336983542288,0.01755769269298562,0.08236859941999272,676645855.5257326,0.002511953828553848,0.0475441034511895,0.0178167084382083,0.0111048432281299,0.083983363674249,0.0123429780279227
RA,2327,-0.00850950897658825,0.0037524559776721386,-0.015864187606526872,-0.00115483034664963,148045284.28492042,0.023346450042545763,-0.0067009869356024,0.0041486056225154,-0.0151858381282895,0.0017838642570846,0.1170881649742836
total_sleep_time_min,1903,-2.7921491201159334,5.164888097898476,-12.915144026043789,7.330845785811922,49036099.78547406,0.5887819035204429,-2.753200168757507,4.883685618559615,-12.741458758692817,7.235058421177802,0.5772551178062435
sleep_efficiency,1903,-0.00781572419580864,0.003931597701962298,-0.015521514818205878,-0.00010993357341140039,12867225.026280627,0.046819926776681786,-0.0059073350401962,0.0046626133357057,-0.0154434500441848,0.0036287799637923,0.2152511520929807
waso_min,1903,2.9418016179564637,1.5269644656910688,-0.05099385997790851,5.934597095890836,30310868.669285677,0.05403343861409127,2.218881165210462,1.677117749466973,-1.2112097693462789,5.648972099767203,0.1961623887788248
astp,2327,0.012290321912957827,0.004930476821611257,0.002626764876856017,0.02195387894905964,298879723.29290307,0.012676705722466153,0.0113398591874312,0.0040550709245381,0.0030463079316152,0.0196334104432471,0.0090759356836127
