characteristic,overall,no_OD,OD,p
"Age, years",57.7 (11.4),57.0 (11.0),64.5 (12.5),<0.001
Female,52.4%,53.8%,39.5%,<0.001
Race/eth: NH White,73.7%,74.5%,66.2%,0.025
Race/eth: NH Black,10.4%,9.9%,15.0%,0.029
Race/eth: Hispanic,10.3%,10.1%,11.5%,0.892
Race/eth: NH Asian,3.8%,3.5%,6.5%,0.158
Education < HS,14.3%,13.5%,22.3%,<0.001
Education college+,32.4%,33.1%,26.5%,0.048
Poverty:income ratio,3.2 (1.6),3.2 (1.6),2.8 (1.5),<0.001
"BMI, kg/m²",29.7 (7.0),29.7 (6.9),30.2 (8.0),0.170
Current smoker,17.3%,17.8%,12.6%,0.102
Former smoker,29.3%,28.4%,38.2%,0.052
Diabetes (self-reported),14.4%,13.7%,20.9%,0.050
"HbA1c, %",5.8 (1.0),5.8 (1.0),5.9 (0.9),0.281
Comorbidity count,1.0 (1.3),1.0 (1.3),1.2 (1.3),0.007
PHQ-9 score,3.0 (4.2),3.0 (4.2),3.0 (3.9),0.916
PHQ-9 ≥ 10,7.8%,7.9%,6.9%,0.929
PST score (0–8),7.0 (1.2),7.3 (0.8),4.4 (1.0),<0.001
Mean daily MIMS,13.8 (3.3),14.0 (3.2),12.6 (3.4),<0.001
"Sedentary, min/day",410.4 (89.8),409.6 (89.7),416.9 (90.3),0.028
"MVPA, min/day",28.9 (33.4),30.0 (33.5),19.2 (30.7),<0.001
"Total sleep time, min",342.0 (70.9),342.9 (70.6),332.9 (73.1),0.047
Sleep efficiency,0.899 (0.048),0.900 (0.047),0.886 (0.052),0.013
IS,0.592 (0.136),0.593 (0.136),0.579 (0.137),0.111
IV,0.720 (0.226),0.714 (0.217),0.779 (0.288),<0.001
RA,0.954 (0.039),0.956 (0.036),0.939 (0.061),<0.001
